,Unnamed: 0,Gender,Age,Bike Lanes
0,83554,Male,Young,Yes
1,59429,Female,Young,Yes
2,50201,Female,Young,Yes
3,62449,Male,Young,No
4,89489,Female,Young,Yes
5,92724,Male,Young,Yes
6,60824,Female,Young,Yes
7,99498,Male,Young,No
8,54146,Female,Young,No
9,84020,Female,Young,Yes
10,93106,Female,Young,Yes
11,88695,Male,Young,No
12,56190,Female,Young,Yes
13,51416,Female,Young,No
14,68473,Male,Young,No
15,79284,Male,Young,No
16,65179,Male,Young,No
17,83701,Male,Young,No
18,62611,Male,Young,Yes
19,62146,Female,Young,Yes
20,56115,Male,Young,No
21,65910,Male,Young,No
22,50823,Male,Young,Yes
23,65120,Female,Young,Yes
24,63468,Male,Young,No
25,76499,Male,Young,No
26,92111,Female,Young,Yes
27,80190,Male,Young,No
28,87238,Male,Young,No
29,91569,Male,Young,No
30,86481,Female,Young,Yes
31,74150,Female,Young,Yes
32,55505,Female,Young,Yes
33,53920,Male,Young,No
34,88478,Male,Young,Yes
35,71125,Male,Young,Yes
36,99717,Male,Young,No
37,81170,Male,Young,Yes
38,97609,Male,Young,Yes
39,61078,Female,Young,Yes
40,91514,Male,Young,No
41,72064,Female,Young,Yes
42,59415,Male,Young,No
43,88340,Male,Young,Yes
44,80265,Female,Young,Yes
45,91252,Female,Young,Yes
46,64646,Female,Young,Yes
47,76337,Male,Young,No
48,78104,Male,Young,No
49,67525,Male,Young,Yes
50,74714,Female,Young,Yes
51,82070,Female,Young,Yes
52,53852,Female,Young,Yes
53,90040,Male,Young,Yes
54,65269,Female,Young,Yes
55,99146,Male,Young,Yes
56,80003,Female,Young,Yes
57,95926,Female,Young,Yes
58,93824,Female,Young,Yes
59,67242,Male,Young,No
60,54894,Female,Young,Yes
61,50727,Male,Young,No
62,72951,Female,Young,Yes
63,84658,Female,Young,Yes
64,95869,Male,Young,No
65,70306,Male,Young,No
66,65271,Female,Young,Yes
67,72369,Female,Young,Yes
68,92684,Female,Young,Yes
69,99343,Male,Young,Yes
70,61734,Male,Young,Yes
71,68621,Male,Young,No
72,91360,Female,Young,Yes
73,76805,Male,Young,No
74,90149,Female,Young,Yes
75,97522,Male,Young,No
76,82208,Male,Young,No
77,52532,Male,Young,No
78,67748,Female,Young,Yes
79,58272,Female,Young,Yes
80,65081,Female,Young,Yes
81,63626,Female,Young,Yes
82,80640,Female,Young,Yes
83,80442,Male,Young,No
84,86057,Male,Young,No
85,90555,Male,Young,No
86,86804,Male,Young,No
87,98224,Male,Young,No
88,79228,Male,Young,No
89,55635,Female,Young,Yes
90,55989,Female,Young,Yes
91,98063,Male,Young,No
92,51814,Female,Young,Yes
93,77580,Male,Young,Yes
94,66825,Female,Young,Yes
95,53930,Male,Young,No
96,97450,Female,Young,Yes
97,75047,Female,Young,Yes
98,65729,Male,Young,Yes
99,79602,Male,Young,Yes
100,60432,Male,Young,No
101,75770,Female,Young,Yes
102,79105,Male,Young,No
103,90796,Female,Young,Yes
104,87002,Male,Young,No
105,85540,Female,Young,Yes
106,78077,Male,Young,No
107,67842,Male,Young,No
108,77804,Female,Young,Yes
109,57684,Male,Young,No
110,74281,Female,Young,Yes
111,99405,Male,Young,No
112,98274,Female,Young,Yes
113,87190,Female,Young,Yes
114,97149,Male,Young,No
115,96915,Male,Young,No
116,59803,Female,Young,Yes
117,88800,Male,Young,Yes
118,74671,Male,Young,No
119,94233,Male,Young,No
120,94255,Female,Young,Yes
121,57136,Male,Young,No
122,96671,Female,Young,Yes
123,79662,Male,Young,No
124,67895,Female,Young,Yes
125,72020,Male,Young,No
126,63540,Male,Young,No
127,98685,Female,Young,Yes
128,86421,Male,Young,Yes
129,59407,Female,Young,Yes
130,63415,Female,Young,Yes
131,56722,Male,Young,No
132,65603,Male,Young,Yes
133,94743,Male,Young,No
134,81139,Male,Young,Yes
135,52731,Female,Young,Yes
136,84575,Female,Young,Yes
137,79627,Male,Young,No
138,97894,Female,Young,Yes
139,92090,Female,Young,Yes
140,86400,Female,Young,Yes
141,56246,Male,Young,No
142,55547,Female,Young,No
143,54066,Female,Young,Yes
144,62853,Female,Young,Yes
145,71804,Female,Young,Yes
146,92311,Female,Young,No
147,56234,Female,Young,Yes
148,53864,Male,Young,Yes
149,85095,Female,Young,No
150,90195,Male,Young,No
151,83159,Male,Young,No
152,56219,Female,Young,Yes
153,86776,Male,Young,No
154,92976,Male,Young,No
155,98467,Male,Young,No
156,64833,Male,Young,Yes
157,80094,Male,Young,Yes
158,58895,Male,Young,No
159,56022,Male,Young,Yes
160,96088,Female,Young,Yes
161,65244,Male,Young,No
162,95307,Male,Young,No
163,76552,Female,Young,Yes
164,56036,Female,Young,Yes
165,57907,Female,Young,Yes
166,82226,Female,Young,Yes
167,56019,Female,Young,Yes
168,71881,Male,Young,No
169,52793,Male,Young,No
170,92605,Female,Young,Yes
171,55825,Male,Young,Yes
172,65389,Female,Young,Yes
173,79563,Male,Young,No
174,89475,Male,Young,No
175,50294,Male,Young,No
176,66959,Male,Young,Yes
177,88156,Female,Young,Yes
178,64075,Female,Young,Yes
179,71858,Male,Young,Yes
180,72081,Male,Young,No
181,67025,Female,Young,Yes
182,58741,Male,Young,No
183,65827,Male,Young,Yes
184,52743,Male,Young,No
185,68050,Female,Young,Yes
186,99936,Male,Young,No
187,67374,Female,Young,Yes
188,72023,Female,Young,Yes
189,96364,Female,Young,Yes
190,73539,Female,Young,Yes
191,95499,Female,Young,Yes
192,90185,Male,Young,Yes
193,59615,Female,Young,Yes
194,93281,Male,Young,No
195,87891,Male,Young,Yes
196,76180,Male,Young,No
197,95892,Female,Young,Yes
198,70935,Male,Young,Yes
199,90971,Female,Young,Yes
200,72226,Female,Young,No
201,74383,Male,Young,Yes
202,84856,Female,Young,Yes
203,86398,Female,Young,Yes
204,88536,Male,Young,Yes
205,81756,Male,Young,No
206,57755,Female,Young,No
