,Gender,Age,Bike Lanes
0,Female,Old,Yes
1,Female,Old,No
2,Female,Old,Yes
3,Male,Old,No
4,Male,Old,Yes
5,Female,Old,No
6,Male,Old,Yes
7,Male,Old,Yes
8,Male,Old,Yes
9,Female,Old,Yes
10,Female,Old,Yes
11,Female,Old,Yes
12,Male,Old,Yes
13,Male,Old,Yes
14,Male,Old,Yes
15,Male,Old,Yes
16,Female,Old,Yes
17,Female,Old,No
18,Male,Old,Yes
19,Male,Old,Yes
20,Male,Old,Yes
21,Male,Old,Yes
22,Male,Old,Yes
23,Male,Old,Yes
24,Female,Old,Yes
25,Male,Old,Yes
26,Male,Old,Yes
27,Male,Old,Yes
28,Male,Old,Yes
29,Female,Old,No
30,Male,Old,Yes
31,Female,Old,Yes
32,Male,Old,Yes
33,Male,Old,No
34,Male,Old,Yes
35,Male,Old,Yes
36,Female,Old,Yes
37,Male,Old,Yes
38,Male,Old,Yes
39,Male,Old,Yes
40,Female,Old,No
41,Male,Old,Yes
42,Male,Old,Yes
43,Female,Old,Yes
44,Male,Old,Yes
45,Male,Old,Yes
46,Female,Old,Yes
47,Female,Old,Yes
48,Male,Old,Yes
49,Male,Old,Yes
50,Male,Old,Yes
51,Female,Old,Yes
52,Male,Old,No
53,Female,Old,Yes
54,Male,Old,Yes
55,Female,Old,Yes
56,Female,Old,Yes
57,Male,Old,Yes
58,Female,Old,Yes
59,Female,Old,Yes
60,Female,Old,Yes
61,Female,Old,Yes
62,Male,Old,No
63,Male,Old,Yes
64,Female,Old,No
65,Male,Old,No
66,Male,Old,Yes
67,Female,Old,No
68,Female,Old,Yes
69,Female,Old,Yes
70,Female,Old,Yes
71,Male,Old,Yes
72,Male,Old,Yes
73,Male,Old,Yes
74,Female,Old,Yes
75,Male,Old,No
76,Male,Old,Yes
77,Female,Old,Yes
78,Female,Old,Yes
79,Female,Old,Yes
80,Female,Old,No
81,Female,Old,Yes
82,Male,Old,Yes
83,Male,Old,Yes
84,Male,Old,Yes
85,Male,Old,Yes
86,Male,Old,Yes
87,Male,Old,Yes
88,Male,Old,Yes
89,Male,Old,Yes
90,Female,Old,Yes
91,Female,Old,Yes
92,Male,Old,Yes
93,Male,Old,Yes
94,Male,Old,Yes
95,Male,Old,No
96,Female,Old,Yes
97,Female,Old,Yes
98,Male,Old,Yes
99,Male,Old,Yes
100,Male,Old,Yes
101,Female,Old,Yes
102,Female,Old,No
103,Male,Old,Yes
104,Female,Old,No
105,Male,Old,Yes
106,Female,Old,Yes
107,Male,Old,Yes
108,Male,Old,Yes
109,Male,Old,Yes
110,Male,Old,Yes
111,Female,Old,Yes
112,Male,Old,Yes
113,Female,Old,No
114,Male,Old,Yes
115,Female,Old,Yes
116,Male,Old,Yes
117,Female,Old,Yes
118,Female,Old,Yes
119,Male,Old,Yes
120,Female,Old,Yes
121,Male,Old,Yes
122,Male,Old,Yes
123,Male,Old,Yes
124,Female,Old,No
125,Female,Old,Yes
126,Female,Old,Yes
127,Female,Old,No
128,Female,Old,Yes
129,Female,Old,Yes
130,Female,Old,No
131,Female,Old,Yes
132,Female,Old,No
133,Female,Old,Yes
134,Female,Old,No
135,Male,Old,Yes
136,Female,Old,Yes
137,Female,Old,Yes
138,Female,Old,No
139,Female,Old,Yes
140,Female,Old,Yes
141,Female,Old,Yes
142,Male,Old,Yes
143,Male,Old,No
144,Male,Old,Yes
145,Female,Old,Yes
146,Female,Old,Yes
147,Female,Old,Yes
148,Female,Old,Yes
149,Male,Old,Yes
150,Male,Old,Yes
151,Male,Old,Yes
152,Female,Old,Yes
153,Male,Old,Yes
154,Female,Old,Yes
155,Female,Old,Yes
156,Male,Old,Yes
157,Male,Old,Yes
158,Male,Old,Yes
159,Female,Old,Yes
160,Female,Old,No
161,Male,Old,Yes
162,Male,Old,Yes
163,Male,Old,Yes
164,Male,Old,Yes
165,Male,Old,Yes
166,Female,Old,Yes
167,Female,Old,No
168,Female,Old,Yes
169,Male,Old,Yes
170,Female,Old,No
171,Male,Old,Yes
172,Male,Old,Yes
173,Male,Old,Yes
174,Male,Old,Yes
175,Female,Old,Yes
176,Female,Old,Yes
177,Female,Old,No
178,Male,Old,Yes
179,Male,Old,Yes
180,Female,Old,Yes
181,Male,Old,Yes
182,Female,Old,Yes
183,Male,Old,Yes
184,Male,Old,Yes
185,Female,Old,Yes
186,Female,Old,Yes
187,Male,Old,No
188,Female,Old,Yes
